Probability_-1.2236392998687713,Probability_0.0023293404165421,Probability_1.2282979807018557
1.4467081789598834e-22,0.999999993330764,6.669235904855704e-09
0.9999838775585487,3.5437283794385123e-28,1.612244145120718e-05
1.405061914801795e-36,1.0,8.373741283802294e-17
8.318922202557547e-10,0.003303775386306086,0.9966962237818018
3.517291254697667e-28,0.9999999999935856,6.4144547636593e-12
1.2156579058659416e-07,7.347569556318147e-05,0.9999264027386463
0.9994802092716341,6.13959821949457e-25,0.0005197907283660153
2.1703833175352397e-24,0.9999999995869744,4.130255128804973e-10
0.9999999049242493,8.612077448315681e-34,9.507575072296781e-08
1.2931283787765795e-06,5.364517919431878e-07,0.9999981704198293
1.8874351233522037e-27,0.9999999999915294,8.470467452573248e-12
1.5813121917827474e-17,0.9999953430069676,4.6569930323946985e-06
0.999336803589173,1.5489896784674226e-23,0.0006631964108270897
1.659286375246186e-15,0.9999385367395193,6.146326047917568e-05
0.9998442064824654,3.5116460667419e-25,0.00015579351753460108
0.999962365519169,9.97726624144637e-27,3.7634480831091325e-05
0.9999634278768453,1.6935098971477095e-27,3.6572123154721645e-05
0.9999998812036403,1.785706001308716e-33,1.187963598188341e-07
1.1696461280709657e-17,0.9999948492144364,5.150785563635788e-06
2.7207695929424687e-06,0.0007169239481795933,0.9992803552822274
4.2215254654450854e-21,0.999999976759956,2.324004405372837e-08
3.313871195113507e-14,0.9828984320237603,0.01710156797620645
8.055993097490504e-06,1.3455329101172346e-07,0.9999918094536114
1.669164864613038e-06,0.0026455389979349203,0.9973527918372004
4.7796413021789795e-11,0.9613830093144404,0.038616990637763325
7.035605523087348e-15,0.9998551180048222,0.00014488199517076795
0.9999999999905698,7.595834337714983e-42,9.430176123614174e-12
0.9999992700503991,1.2466070749346475e-31,7.299496009064442e-07
0.9061346820287809,5.095764699791527e-19,0.0938653179712192
0.0004988738403098199,1.9666086347790225e-11,0.9995011261400241
1.7057844239756777e-05,3.2414688184370783e-09,0.9999829389142914
0.9920032178161955,2.850183362031088e-21,0.007996782183804434
4.290923129617477e-07,1.6812744217929522e-06,0.9999978896332652
0.9982795715108549,2.17330860585418e-22,0.001720428489145249
3.773551410903249e-14,0.9823453727595154,0.01765462724044692
1.514019921310028e-15,0.9999461212147288,5.3878785269653056e-05
0.9999559190119118,1.8714679224479763e-26,4.4080988088234495e-05
2.4070724037859455e-06,1.710270112118362e-07,0.999997421900585
0.01214822293024714,1.5243239597461126e-12,0.9878517770682285
0.0002049570358718648,5.883764776639857e-11,0.9997950429052905
6.418814880827571e-20,0.9999959567836089,4.0432163910653456e-06
1.168813001193038e-12,0.9975449700628555,0.002455029935975786
1.6246901289107083e-14,0.9994554608208752,0.0005445391791084978
8.041754916178737e-08,0.06058128543955488,0.9394186341428958
1.578465162866088e-20,0.9999999095017182,9.049828167491953e-08
7.003458906822633e-08,7.327223971746068e-05,0.9999266577256936
0.9997526334818613,4.03959622392588e-26,0.0002473665181387231
0.006932245138899157,8.334593070845099e-12,0.9930677548527663
4.3688566250072305e-20,0.9999924179888688,7.582011131191531e-06
0.9999999999999725,1.151855586861475e-49,2.7574876308436872e-14
0.002910166471770813,1.3284893381628784e-12,0.9970898335269007
0.999999999878588,6.722728388032271e-40,1.214120206852809e-10
2.3758993858178185e-05,1.3231926315699306e-08,0.9999762277742155
4.128417900090511e-09,0.0002233008218387196,0.9997766950497435
7.2091263015074e-07,2.0252564338368035e-06,0.999997253830936
1.1927249849416055e-21,0.9999999830197225,1.698027752010348e-08
0.00024064343625354316,1.5630079985628575e-06,0.999757793555748
0.00013464218873202968,2.1403290107620074e-06,0.9998632174822573
0.9999999999999929,6.781719520552389e-51,7.156505461827228e-15
0.39982808128490005,5.934983084742908e-15,0.6001719187150939
0.9999995389684639,5.752835279108017e-32,4.610315360245876e-07
2.2234494749748278e-29,0.9999999999993086,6.913402707861923e-13
5.568666624900409e-06,6.860532391248449e-08,0.9999943627280512
0.006354099265966736,1.426435567173469e-08,0.9936458864696777
0.9999999978864178,1.7310325049246392e-36,2.113582259459871e-09
0.9999998681927067,4.927518254184948e-33,1.3180729328807438e-07
6.676744900890208e-06,1.1037737173360314e-08,0.999993312217362
1.4390103125650386e-24,0.9999999884650336,1.153496630546814e-08
0.9999999980360776,2.6271595622250607e-36,1.9639224380468823e-09
0.9999999903506921,1.2271422114240615e-35,9.649307992907307e-09
0.9999999951065544,1.554650367761571e-36,4.893445552539866e-09
2.4604180156181495e-18,0.9999968489737736,3.15102622638911e-06
0.00029459115189517686,9.932411978748075e-10,0.9997054078548637
